id;id_catena;nome;id_comune;indirizzo;id_capo_equipe
1;1;ALIS;83048;via Chiesa Giampilieri Sup;1
2;159;CARREFOUR EXPRESS;83048;Via Nazionale, 121;2
3;154;SIGMA;83048;Via Nazionale, 91;3
4;133;ARD DISCOUNT;83048;Via Nazionale, 83;4
5;11;ALISE;83048;via Comunale 103;5
6;209;MICALIZZI;83048;c.da Castellano;6
7;163;ARD DISCOUNT Mili;83048;Via Nazionale 323  98131;7
8;174;MERCATI ALIMENTARI C.C.;83048;S.S.114 - km 6,200 Tremestieri;8
9;108;MERSI;83048;S.S.114 - km 6,300 Tremestieri;9
10;146;ARD DISCOUNT;83048;S.S.114 - km 6,330 Tremestieri;10
11;199;SIMPLY ;83048;S.S. 114 Km 5,900                ;11
12;28;MERCATI ALIMENTARI;83048;C.da Carruba                   Salita Zafferia;12
13;132;EUROSPIN;83048;S.S. 114 Km 5,400                ;13
14;41; QUI CONVIENE;83048;S.S. 114 Km 4,800  Pistunina              ;14
15;41;ARD DISCOUNT;83048;S.S. 114 Km 5,200  Pistunina              ;15
16;128;MD DISCOUNT;83048;Via CAMPOLINO ;16
17;199;SIMPLY Market;83048;S.S. 114 Km 4,360                 ;17
18;169;CONAD  (La Via Lattea);83048;S.S. 114 Km.3,913 Contesse;18
19;123;SPACCIO ALIMENTARE;83048;S.S. 114 Km.3,900 Contesse;19
20;105;ALIS;83048;S.S. 114 Km 3,500                 ;20
21;179;ARD;83048;Via C. Valeria 110;21
22;185;DESPAR;83048;Via Corbino Orso 28;22
23;173;CARREFOUR;83048;via U. Bonino 1      98124;23
24;99;SPACCIO ALIMENTARE;83048;Via G. Alessi   Gazzi                                      ;24
25;42; QUI CONVIENE;83048;Via G. La Farina, 291;25
26;156;SENZA INSEGNA;83048;Via La Farina, 263  ;26
27;199;SIMPLY;83048;Via Maregrosso;27
28;43;ARD DISCOUNT;83048;Via Maregrosso sin 98100;28
29;40;CARREFOUR MARKET;83048;Via La Farina,  237 ;29
30;43;InGROSSO Alimentare;83048;Via Don Blasco;30
31;27;MERCATI ALIMENTARI;83048;Via Catania 162;31
32;199;SIMPLY;83048;Via Palmara, 17;32
33;199;SIMPLY;83048;Viale S. Martino, 101                                         ;33
34;71;ARD;83048;via Degli Orti;34
35;149;MERSI';83048;Via Ghibellina 150;35
36;146;ALIS;83048;via Ugo Bassi;36
37;212;SIGMA;83048;Piazza FULCI  15/17     ;37
38;71;ARD;83048;Piazza CRISAFULLI;38
39;146;ALIS;83048;Largo Seggiola Is. 168;39
40;88;PAM VINCI                                  ;83048; Via C. Battisti, 102                                            ;40
41;94; DESPAR;83048;Via C. Botta, 3                                    ;41
42;178;SIGMA;83048;Via S. G. Bosco 53;42
43;213;SIGMA;83048;Piazza XX Settembre           98122;43
44;148;MERSI;83048;VIA IBICA;44
45;4;SUPERMERCATI VINCI                                ;83048; Via Garibaldi, 214                                          ;45
46;42;ALIS;83048;Via Torrente Trapani 10;46
47;71;ARD DISCOUNT;83048;Via Manzoni 7-9 A;47
48;91;EUROSPAR;83048;V.le R. Margherita ang.via Palermo;48
49;71;ARD DISCOUNT;83048;Viale Giostra Compl. Arco Ant.;49
50;98;SPACCIO ALIMENTARE;83048;Viale Giostra C.da Avarna S. Michele ;50
51;1;ALIS;83048;Via Calabrella ;
52;21;ARENA;83048;Via Masse;
53;198;SIMPLY;83048;Viale R. Elena, 135                                                ;51
54;180;SPACCIO ALIMENTARE;83048;Viale Libertà ;52
55;4;Pam;83048;Via N. Panoramica, 33 (Garden P.)   ;53
56;86;C. O. EUROSPAR;83048;Viale Annunziata, 110   ;54
57;148;MERSI;83048;Viale Annunziata  ;55
58;71;ARD DISCOUNT;83048;Via Leonardi;56
59;42;InGROSSO Alimentare ;83048;C.da Marotta - Curcuraci  ;57
60;71;ARD Discount;83048;Via C.Pompea 1455   ;58
61;197;SIMPLY;83048;Via C. Pompea, 149                                               ;59
62;4;PAM;83048;Via Com. Sperone C.da Papardo;60
63;104;Spaccio Alimentare;83048;Piazza Chiesa Sperone;61
64;41;ALIS;83089;P.le Torrente Agrò 43;62
65;54;Top MarketSRL CONAD;83089;Via T. Porto Salvo (Sceva);63
66;214;MAXISCONTO;83089;Via Lungomare;64
67;90;DESPAR;83089;R. Margherita 596;65
68;41;ARD DISCOUNT;83072;Lungomare;66
69;41; QUI CONVIENE;83072;Via Torrente Allume;67
70;61;CONAD;89026;Via Marina, 29/E;68
71;84;EUROSPIN;83105;via A. Da Messina;69
72;17;ARD DISCOUNT;83105;Via Nazionale Piazzale Marullo;70
73;81;EUROSPAR;83105;Via Dei Marinai, 1;71
74;183;MERCATI ALIMENTARI                                                               ;83105;P.Cast. Nuovo;72
75;41;inGROSSO;83105;Via Zizzo;73
76;108;MERSI';83105;Via Don Luigi Sturzo 78 H;73
77;213;SIGMA;83076;Via Nazionale 330;74
78;171;CARREFOUR;83104;Via Nauloco (Lungomare);75
79;116;SPACCIO ALIMENTARE;83104;via Delle Officine 20;76
80;160;SIDIS;83098;Via Nazionale 60;77
81;165;PUNTO SIMPLY;83098;Viale Europa 164;78
82;207;SIGMA;83098;Via XXI Ottobre           n° 303;79
83;117;DESPAR              ;83054;Via Fiume;80
84;115;SPACCIO ALIMENTARE;83054;via del mare 10;81
85;41;EURO HARD;83049;Via Archi Marina 451 S. F. del Mela;82
86;29;Super SPACCIO ALIMENTARE;83049;Viale Sicilia Parco Corolla;83
87;120;IPERCOOP;83049;Parco Corolla         Via Firenze;84
88;63;DESPAR               Grande Pino                                          ;83049;Via S. Paolino, 60;85
89;208;UPIM SISA;83049;via XX Sett. 102       98057;86
90;184;MERCATINO ALIMENTARE;83049;Via Giorgio Rizzo, 33-37;86
91;184;MERCATINO ALIMENTARE;83049;P.zza San Papino;86
92;31;SIGMA;83049;P.zza San Giovanni;86
93;164;SPACCIO ALIMENTARE;83049;Via Risor      gimento, 115;86
94;200;SPACCIO FRESCO;83049;Via Vittorio Veneto, 56;86
95;202;SPACCIO ALIMENTARE;83049;Via Acqueviole;87
96;126;LIDL;83005;C.da S.Antonio svincolo aut.;88
97;170;FAMILA SUPERSTORE;83005;C.da S.Antonio svincolo aut.;89
98;27;MERCATI ALIMENTARI 2                                                               ;83005;Via On. Martino;90
99;41;ARD;83005;Piazza G.Amendola;91
100;93;INTERSPAR                                                   ;83005;VIA Laghinazzi ang.Via Temp.;92
101;8;SPACCIO ALIMENTARE;83005;Via S.Cattafi ;93
102;3;SIGMA                                                               ;83005;Via Rosmini 8;94
103;44;QUI CONVIENE;83038;C.da Vigna Vecchia;95
104;141;MAXISCONTO;83038;;96
105;87;IPERSIDIS;83032;Via C. Valeria;97
106;188;SIDIS;83032;Via Naxos 157   98135;98
107;204;SPACCIO ALIMENTARE;83032; SS.114 C.da Pallio via C. Valeria;99
108;44;QUI CONVIENE;83032;Via Chianchitta c.da Sciacca;100
109;6; HARD DISCOUNT;83097;Via Francavilla, 10  Trappitello;101
110;195;SMA;83097;Via Apollo Arcageta n.19;102
111;106;SIDIS;83066;Via Giovanni XXIII° ;103
112;9;ALIS;83066;Via Kennedy;104
113;92;DESPAR;83066;Corso Matteotti;105
114;131;EUROSPIN                           ;83066;Via Giovanni XXIII° ;106
115;7;SPACCIO ALIMENTAR;83066;Via Giovanni XXIII° ;107
116;176;CONAD                              ;83066;Via Casa Nuove Russo;108
117;7;SPACCIO ALIMENTAR;83066;Largo J. Palak;109
118;153;ARD Discount;83033;Via Liguria 6/A;110
119;176;CONAD;83033;Via Sicilia, 9 ;111
120;103;C.C. LA FILANDA;83007;SS. 113;112
121;92;EUROSPAR;83009;c.da S. Lucia ;
122;205;SIGMA;83009;Consolare Antica, 279;113
123;210;SPESA MIA;83063;via Matteotti 13;114
124;60;SUPER SPESA MIA;83010;Nazionale;115
125;206;CONAD;83108;Via  Benedetto Russo;116
126;79;EURO ARD;83084;Via V. Zito 10;117
127;196;SIMPLY;83084;Via Rossini;118
128;155;P & C  s.r.l       SUPERMERCATO PANTO';83084;San Martino 69/A;119
129;172;IL MERCATINO;83084;Via Medici 280 ;120
130;174;MERCATI ALIMENTARI;83084;Via Asmara 2 ;121
131;24;ALIS Superm. Scurria;83084;Via Pirandello 21;122
132;127;MD Discount;83084;Via Coenz. 55;123
133;112;CARREFOUR;83107;C.da Barranca;124
134;168;RAINERI RISPARMI;83107;P.E. Cunial;125
135;10;ALIS;83019;Via Sicilia 4;126
136;181;SPACCIO ALIMENTARE;83072;via Umberto I;127
137;129;MARECHIARO;83072;Lungomare         C. Colombo;128
138;100;CONAD;83072;Via Torrente Allume 13;129
139;177;SPACCIO ALIMENTARE;83048;Via Catania 260 fronte pal Palano;130
140;2; EUROSPIN;86009;C.da Santa Lucia;
141;110;ENNA MERCATO di Arena;86009;C.da Santa Lucia;
142;54;conad;86009;via leonardo da vinci;
143;147;mercati alimentari;86009;c.da scifitello;
144;110;SIDIS;86009;via regione siciliana;
